"","geneNames","feature","id","fc","pval","qval","mean"
"276","SPO2308.t01","gene","MSTRG.1809",0.638975198879767,0.0335989726827463,0.125554906822838,78.5988216428571
"277","SPO2309.t01","gene","MSTRG.1810",0.351639666825256,0.00193505182193698,0.0400918549357569,73.4739055
"278","SPO2311.t01","gene","MSTRG.1812",1.43389920755296,0.0206161791560648,0.100949237669653,105.4517315
"279","SPO2316.t01","gene","MSTRG.1817",1.39533274095457,0.0468281108662608,0.146863942783022,132.570836449583
"280","SPO2322.t01","gene","MSTRG.1822",0.630450106512284,0.00540609373035994,0.0535480906423899,446.498951571429
"281","SPO2323.t01","gene","MSTRG.1823",1.40351444876337,0.0123311443890681,0.0793901686811533,122.648857455055
"282","SPO0258.t01","gene","MSTRG.183",1.41016420374245,0.00586087422941084,0.0557138325149609,113.615126428571
"283","SPO2335.t01","gene","MSTRG.1832",1.44250580408156,0.00824763225207947,0.0652527468153782,136.185656928571
"284","SPO2338.t01","gene","MSTRG.1835",1.64570334456542,0.0156621340713158,0.0882992762694078,30.4773801428571
"285","SPO2340.t01","gene","MSTRG.1837",0.556244768208529,0.0297423976863547,0.119105875298018,726.890980142857
"286","SPO0260.t01","gene","MSTRG.185",0.793323570527774,0.0115549958000222,0.0769492790478556,96.5091206428571
"287","SPO2356.t01","gene","MSTRG.1851",0.502412118103715,0.000854303395518841,0.0318204017544377,90.8491190714286
"288","SPO2357.t01","gene","MSTRG.1852",1.75536506278282,0.00209074811061205,0.0406092142078592,83.0604053571429
"289","SPO2359.t01","gene","MSTRG.1854",0.302549285706653,0.00583571553109086,0.0557138325149609,83.6734246428571
"290","SPO2361.t01","gene","MSTRG.1855",0.535522505451422,0.00360088644001433,0.0483620113233333,79.9424599622522
"291","SPO2364.t01","gene","MSTRG.1856",0.274705043285559,0.00315408028054587,0.0461932658587512,86.8748137857143
"292","SPO2365.t01","gene","MSTRG.1857",0.282810852683509,0.00172237176286572,0.0385787999587827,88.706058163991
"293","SPO2367.t01","gene","MSTRG.1858",0.389249435402424,0.0103493835852786,0.0729961842238267,79.8474698571429
"294","SPO2368.t01","gene","MSTRG.1859",0.363255315550345,0.000205733773587902,0.0250192770931932,77.0618012857143
"295","SPO0262.t01","gene","MSTRG.187",1.34036455465819,0.0451365231290533,0.145128587946471,135.8196955
